"BNU1" "BNU2" "DC1" "HNU1" "IACAS" "IBATRT" "IPCAS" "JHNU" "NYU1" "SWU1" "UM" "UWM" "XHCUMS" "Mean"
"AAFXG" 0.927448979591837 0.859285714285714 0.78367357149425 0.96895785440613 0.883002148227712 0.913690476190476 0.965034965034965 0.872126436781609 0.935462962962963 0.940902903811252 0.9532371200516 0.942916666666667 0.860072463768116 0.906543141698628
"CAFXG" 0.958775510204082 0.912551020408163 0.878390788161754 0.982634738186462 0.861788399570354 0.936755952380952 0.965118215118215 0.951149425287356 0.965925925925926 0.978910098522167 0.976981375473676 0.9775 0.908134057971015 0.943180426248108
"DAFXG" 0.904591836734694 0.809387755102041 0.74564888330146 0.955347381864623 0.813184747583244 0.895833333333333 0.926615051615052 0.831034482758621 0.899259259259259 0.901645276985567 0.952914617431267 0.947083333333333 0.815090579710145 0.877574452513191
"HAFXG" 0.931632653061224 0.850408163265306 0.821086601317762 0.972802043422733 0.832156283566058 0.932291666666667 0.962495837495837 0.892816091954023 0.937037037037037 0.938577586206897 0.957631218253648 0.954166666666667 0.852644927536232 0.912377865088333
"AAFXX" 0.906734693877551 0.820204081632653 0.736837756331023 0.946836526181354 0.846388292158969 0.883928571428571 0.946719946719947 0.854310344827586 0.873240740740741 0.899595432546884 0.906957994033702 0.91875 0.841630434782609 0.874231186317274
"CAFXX" 0.95530612244898 0.892142857142857 0.824901668676401 0.97109067688378 0.863632295023272 0.954613095238095 0.983266733266733 0.939080459770115 0.954907407407407 0.951387088410682 0.963113762799323 0.949166666666667 0.901775362318841 0.928409833677498
"DAFXX" 0.887448979591837 0.80530612244898 0.756703784929428 0.94192337164751 0.768577694235589 0.883184523809524 0.947552447552448 0.823563218390805 0.917685185185185 0.899536016766053 0.942755784890752 0.907083333333333 0.818967391304348 0.873794365268946
"HAFXX" 0.917142857142857 0.839183673469388 0.780752090145528 0.960228607918263 0.829744002864304 0.947172619047619 0.951257076257076 0.885919540229885 0.901111111111111 0.921220076052199 0.940256389583165 0.915 0.854547101449275 0.895431648042777
"AAFSG" 0.926122448979592 0.859285714285714 0.783173942527702 0.969224776500639 0.885593447905478 0.912946428571429 0.964327339327339 0.875574712643678 0.935185185185185 0.939825317604356 0.907078932516327 0.944166666666667 0.862427536231884 0.901947352729088
"CAFSG" 0.958061224489796 0.912551020408163 0.868577604870869 0.982883780332056 0.863345864661654 0.936011904761905 0.965034965034965 0.954597701149425 0.963518518518519 0.976600985221675 0.959888736595985 0.978333333333333 0.910416666666667 0.940007137629147
"DAFSG" 0.903469387755102 0.808877551020408 0.733706073316526 0.955675606641124 0.825443071965628 0.898809523809524 0.922952047952048 0.839655172413793 0.896759259259259 0.898874341024976 0.919535596226719 0.946666666666667 0.816286231884058 0.872550572157508
"HAFSG" 0.93030612244898 0.848775510204082 0.813679000850983 0.973060025542784 0.828660938059434 0.935267857142857 0.962162837162837 0.891379310344828 0.938796296296296 0.936730295566502 0.926832218011771 0.949166666666667 0.853242753623188 0.907629890763157
"AAFSX" 0.906020408163265 0.819489795918367 0.732669269005148 0.947455938697318 0.82984693877551 0.891369047619048 0.950174825174825 0.850574712643678 0.872037037037037 0.902058486734077 0.866201725389019 0.918333333333333 0.849166666666667 0.869789327942444
"CAFSX" 0.955408163265306 0.892551020408163 0.819409273190687 0.97118901660281 0.856784819190834 0.960565476190476 0.983807858807859 0.935632183908046 0.954166666666667 0.949847679543687 0.929089736354108 0.951666666666667 0.910235507246377 0.92455574186246
"DAFSX" 0.889387755102041 0.805918367346939 0.749094624637585 0.942072796934866 0.762786430361618 0.882440476190476 0.94534632034632 0.817528735632184 0.919907407407407 0.899692658370063 0.90224139321132 0.914166666666667 0.822173913043478 0.868462284509324
"HAFSX" 0.915612244897959 0.838469387755102 0.774974488754221 0.960006385696041 0.808319906910132 0.927083333333333 0.952755577755578 0.875 0.902592592592593 0.920601611788091 0.903249213899863 0.919166666666667 0.862481884057971 0.88953099837121
"AAXXG" 0.93530612244898 0.869591836734694 0.926577441245189 0.977624521072797 0.874870211242392 0.933779761904762 0.968115218115218 0.888505747126437 0.96212962962963 0.956745311554749 0.994194952833992 0.945 0.878822463768116 0.941186740256438
"CAXXG" 0.959489795918367 0.915918367346939 0.959734384962627 0.987269476372925 0.85874955245256 0.95014880952381 0.970779220779221 0.955747126436782 0.975092592592593 0.976600985221675 0.997299040554705 0.963333333333333 0.912427536231884 0.960728994975953
"DAXXG" 0.911224489795918 0.832857142857143 0.882894434045299 0.9672656449553 0.832764948084497 0.933779761904762 0.936022311022311 0.847413793103448 0.934166666666667 0.914254926108374 0.988148028702733 0.941666666666667 0.836902173913043 0.914707048435958
"HAXXG" 0.939897959183673 0.86030612244898 0.937136003853974 0.982195402298851 0.851006981740064 0.958333333333333 0.963786213786214 0.913793103448276 0.963796296296296 0.951662561576355 0.991897121664113 0.952083333333333 0.877807971014493 0.943688059287463
"AAXXX" 0.919183673469388 0.84 0.866043256688074 0.958980842911877 0.840203186537773 0.916666666666667 0.950174825174825 0.886206896551724 0.884166666666667 0.915994188056348 0.963920019350157 0.916666666666667 0.851014492753623 0.909469122289555
"CAXXX" 0.961428571428571 0.906224489795918 0.945712240175036 0.976868454661558 0.845372359470104 0.956845238095238 0.988136863136863 0.960057471264368 0.968888888888889 0.964761040532365 0.990969926630654 0.952916666666667 0.90661231884058 0.95538038978387
"DAXXX" 0.910714285714286 0.841326530612245 0.906894073022777 0.95930779054917 0.768497135696384 0.925595238095238 0.956959706959707 0.857471264367816 0.940925925925926 0.930264778325123 0.980045150366847 0.910833333333333 0.843351449275362 0.916879726845469
"HAXXX" 0.934183673469388 0.853265306122449 0.903516167867151 0.974729246487867 0.831238811313999 0.954613095238095 0.961704961704962 0.914942528735632 0.91287037037037 0.936608763287529 0.979400145126179 0.90625 0.86643115942029 0.928232339596547
"AAXSG" 0.936326530612245 0.870408163265306 0.924620512973698 0.978401021711367 0.892682599355532 0.929315476190476 0.970529470529471 0.895689655172414 0.960833333333333 0.955667725347852 0.97311134402967 0.944166666666667 0.88481884057971 0.940363837239118
"CAXSG" 0.959897959183673 0.916938775510204 0.962325580218748 0.987526181353768 0.876065162907268 0.953125 0.972360972360972 0.958620689655172 0.974722222222222 0.975985221674877 0.984761751189228 0.962083333333333 0.914891304347826 0.96113195398239
"DAXSG" 0.910714285714286 0.834897959183673 0.882727360255509 0.968450830140485 0.836466165413534 0.929315476190476 0.941058941058941 0.862068965517241 0.937222222222222 0.916717980295567 0.967185358381037 0.9425 0.842826086956522 0.914656129021482
"HAXSG" 0.938469387755102 0.859795918367347 0.936798974762177 0.982765006385696 0.859188148943788 0.956845238095238 0.963744588744589 0.925287356321839 0.966481481481481 0.949199507389163 0.977747319196968 0.948333333333333 0.880996376811594 0.943027206246269
"AAXSX" 0.920408163265306 0.839387755102041 0.868104223142149 0.960409961685824 0.834040458288579 0.916666666666667 0.953588078588079 0.89051724137931 0.881944444444444 0.916609951603146 0.925905022978312 0.915833333333333 0.858514492753623 0.906925999237987
"CAXSX" 0.961632653061224 0.90765306122449 0.945715925077843 0.977725415070243 0.848961689939134 0.958333333333333 0.990301365301365 0.958333333333333 0.9675 0.964755639097744 0.967104732725953 0.95625 0.915108695652174 0.954224268744896
"DAXSX" 0.912448979591837 0.842142857142857 0.906845336240349 0.960478927203065 0.76313104189044 0.924107142857143 0.958166833166833 0.856896551724138 0.943888888888889 0.933805418719212 0.95182617108764 0.918333333333333 0.846721014492754 0.914974391350348
"HAXSX" 0.934795918367347 0.854081632653061 0.903895399677652 0.975123882503193 0.816854636591479 0.947916666666667 0.963827838827839 0.91264367816092 0.913703703703704 0.937686349494426 0.960049987906152 0.917916666666667 0.873152173913043 0.926798128258029
"AFFXG" 0.950816326530612 0.876122448979592 0.795588762456418 0.975918263090677 0.883351235230935 0.921130952380952 0.965742590742591 0.87183908045977 0.938055555555556 0.933357099645666 0.952610759493671 0.944166666666667 0.852155797101449 0.911937238439592
"CFFXG" 0.969897959183673 0.920612244897959 0.891381872341487 0.988116219667944 0.874131757966344 0.96577380952381 0.970612720612721 0.957183908045977 0.974907407407407 0.981681034482759 0.978916139240506 0.975833333333333 0.908423913043478 0.950508867634191
"DFFXG" 0.942551020408163 0.815612244897959 0.756077574766188 0.966950191570881 0.825183494450412 0.912202380952381 0.930527805527806 0.825862068965517 0.901203703703704 0.904710591133005 0.962460443037975 0.93375 0.814365942028985 0.886295786818818
"HFFXG" 0.95030612244898 0.852959183673469 0.844117216897558 0.981546615581098 0.839325993555317 0.94047619047619 0.962745587745588 0.894540229885057 0.937962962962963 0.935652709359606 0.961155063291139 0.95125 0.856666666666667 0.920298154028914
"AFFXX" 0.923877551020408 0.835510204081633 0.75116858553004 0.958355044699872 0.844875581811672 0.895089285714286 0.946470196470196 0.850862068965517 0.87962962962963 0.898507043470746 0.915506329113924 0.92375 0.842065217391304 0.882388115138673
"CFFXX" 0.964387755102041 0.901020408163265 0.840061458121927 0.978351213282248 0.851011457214465 0.95610119047619 0.986346986346986 0.941379310344828 0.970277777777778 0.960013179500475 0.964438291139241 0.953333333333333 0.904202898550725 0.934932841900125
"DFFXX" 0.898979591836735 0.812959183673469 0.772360703305016 0.95498595146871 0.775143215180809 0.906994047619048 0.953130203130203 0.82183908045977 0.918055555555556 0.900008642295394 0.952412974683544 0.910416666666667 0.82125 0.882954736332041
"HFFXX" 0.931428571428571 0.843265306122449 0.788678332706797 0.96966411238825 0.810602398854279 0.949404761904762 0.950008325008325 0.892241379310345 0.910462962962963 0.922743280615331 0.940308544303798 0.928333333333333 0.850271739130435 0.899818933044873
"AFFSG" 0.95030612244898 0.878061224489796 0.789844046160415 0.976540229885058 0.881126924453992 0.918154761904762 0.965825840825841 0.870977011494253 0.935092592592593 0.932279513438769 0.908227848101266 0.943333333333333 0.856938405797101 0.90658379136214
"CFFSG" 0.97 0.921530612244898 0.887307228495139 0.98817496807152 0.875196920873613 0.966517857142857 0.97027972027972 0.958908045977012 0.973333333333333 0.983220443349754 0.953520569620253 0.978333333333333 0.909655797101449 0.947561543574281
"DFFSG" 0.94030612244898 0.817040816326531 0.750174836304225 0.967726692209451 0.833682420336556 0.904017857142857 0.927905427905428 0.837068965517241 0.899814814814815 0.90317118226601 0.92381329113924 0.93125 0.811938405797101 0.881276458741185
"HFFSG" 0.947959183673469 0.853367346938775 0.831812685691962 0.981808429118774 0.838350340136054 0.939732142857143 0.963078588078588 0.896551724137931 0.941388888888889 0.93426724137931 0.924960443037975 0.949166666666667 0.857989130434783 0.914707435275265
"AFFSX" 0.923877551020408 0.836326530612245 0.748566787585038 0.958795657726692 0.822475832438238 0.90327380952381 0.949467199467199 0.84683908045977 0.878981481481481 0.897426756546539 0.871044303797468 0.925833333333333 0.851014492753623 0.877746497411745
"CFFSX" 0.965408163265306 0.900612244897959 0.834690286547676 0.97863601532567 0.843671679197995 0.962797619047619 0.987304362304362 0.935919540229885 0.969907407407407 0.959705297727076 0.927571202531646 0.955833333333333 0.91286231884058 0.930896261450077
"DFFSX" 0.901938775510204 0.815204081632653 0.764450286370103 0.955243933588761 0.768609022556391 0.904017857142857 0.953546453546454 0.816091954022989 0.921666666666667 0.900619004407571 0.903678797468354 0.909583333333333 0.82429347826087 0.876907153370301
"HFFSX" 0.930510204081633 0.842244897959184 0.781240000303383 0.969452107279693 0.78843089867526 0.923363095238095 0.952422577422577 0.882758620689655 0.911759259259259 0.923356343444819 0.902650316455696 0.930833333333333 0.858442028985507 0.893537074891732
"AFXXG" 0.950408163265306 0.883163265306122 0.931644544758633 0.983162196679438 0.883020050125313 0.942708333333333 0.968115218115218 0.880459770114942 0.961388888888889 0.959370408780572 0.995490506329114 0.948333333333333 0.876666666666667 0.945379183157133
"CFXXG" 0.969081632653061 0.925 0.964223372562518 0.991333333333333 0.870640887934121 0.973214285714286 0.970529470529471 0.961494252873563 0.982037037037037 0.979833743842365 0.997982594936709 0.970833333333333 0.911557971014493 0.965581116101318
"DFXXG" 0.945 0.838367346938775 0.890495045955739 0.976574712643678 0.833194593626924 0.91889880952381 0.938727938727939 0.837068965517241 0.939351851851852 0.916256157635468 0.987935126582278 0.9325 0.829130434782609 0.919106982416991
"HFXXG" 0.959489795918367 0.856938775510204 0.9483550384488 0.988527458492976 0.860302542069459 0.964285714285714 0.966866466866467 0.914655172413793 0.966111111111111 0.945197044334975 0.991337025316456 0.946666666666667 0.884692028985507 0.948842207395982
